protocol,domain_name,address,long_url,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains,having_ip_address,shortening_service,https_token,abnormal_url,web_traffic,domain_registration_length,age_of_domain,dns_record,statistical_report
http,www.geocities.com,apple_toh/index.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.gongaga.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.angelfire.com,goth/doujinshi_rapture/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,geocities.com,plugplaymanga/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.kinu-sekigushi.com,,0,0,0,1,0,0,0,1,1,1,1,1,1,0
http,www.geocities.com,can_it_be_sin/index_2.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,community.livejournal.com,jrockyaoi/,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,arachnoid.reverie-noire.com,,0,0,0,1,0,0,0,1,1,1,1,1,1,1
http,totchi.tripod.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,home.arcor.de,jrock-yaoi/index2.htm,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.dtwins.co.uk,jfic/efiction30/index.php,0,0,0,0,2,0,0,1,1,2,1,1,1,0
http,members.tripod.com,starchan/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.geocities.com,hushie_hush/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.cursedmoons.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.worldshaking.net,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.shoujoai.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.angelfire.com,anime2/yurifics/index.html,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,groups.yahoo.com,group/lilypetalsandfallendewdrops/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.privateholes.com,anime/anime-sex/index6.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.privateholes.com,anime/anime-asia/index6.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.anime-hentai-cartoons.com,,0,0,0,1,0,0,0,1,1,1,1,1,1,1
http,idd00788.eresmas.net,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.applicot.com,,0,0,0,0,0,0,1,1,1,1,1,1,1,0
http,adultcompass.com,avs/0/1/acw/index.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.adult-anime-hentai.com,,0,0,0,1,0,0,0,1,1,1,1,1,1,1
http,www.emuck.com:3000,archive/egan.html,0,0,0,0,0,0,0,1,1,1,1,1,1,1
http,danoday.com,summit.shtml,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,groups.yahoo.com,group/voice_actor_appreciation/links/events_and_appearanc_000985383761/,2,0,0,0,0,0,0,1,1,1,1,1,1,0
http,voice-international.com,,0,0,0,1,0,0,0,1,1,1,1,1,1,0
